,video_name,duration,resolution,fps,bitrate,size
0,ref_03_02.mp4,30.03,1920x1080,29.97002997002997,542600,2048424
0,ref_01_01.mp4,30.263567,1920x1080,29.97002997002997,465586,1773034
0,ref_07_04.mp4,32.565867,1920x1080,29.97002997002997,395376,1622046
0,ref_02_02.mp4,33.2332,1920x1080,29.97002997002997,448774,1877086
0,ref_04_02.mp4,27.594233,1920x1080,29.97002997002997,695151,2408573
0,ref_07_01.mp4,32.7327,1920x1080,29.97002997002997,362758,1496882
0,ref_06_02.mp4,30.697333,1920x1080,29.97002997002997,483778,1868228
0,ref_09_03.mp4,30.03,1920x1080,29.97002997002997,443322,1675773
0,ref_09_02.mp4,30.03,1920x1080,29.97002997002997,467839,1767799
0,ref_04_03.mp4,27.6276,1920x1080,29.97002997002997,689433,2391737
0,ref_01_02.mp4,30.163467,1920x1080,29.97002997002997,468274,1777297
0,ref_03_04.mp4,29.896533,1920x1080,29.97002997002997,497748,1871734
0,ref_05_04.mp4,29.896533,1920x1080,29.97002997002997,349803,1318844
0,ref_02_01.mp4,33.466767,1920x1080,29.97002997002997,465851,1961704
0,ref_05_01.mp4,30.096733,1920x1080,29.97002997002997,353786,1342639
0,ref_10_01.mp4,33.767067,1920x1080,29.97002997002997,481818,2046676
0,ref_05_02.mp4,30.03,1920x1080,29.97002997002997,351460,1330931
0,ref_09_04.mp4,29.896533,1920x1080,29.97002997002997,430351,1619865
0,ref_08_03.mp4,28.995633,1920x1080,29.97002997002997,394288,1440374
0,ref_10_02.mp4,33.6336,1920x1080,29.97002997002997,455185,1926635
0,ref_09_01.mp4,30.03,1920x1080,29.97002997002997,443403,1676070
0,ref_07_02.mp4,32.665967,1920x1080,29.97002997002997,373637,1538243
0,ref_03_01.mp4,30.03,1920x1080,29.97002997002997,450322,1702044
0,ref_03_03.mp4,30.03,1920x1080,29.97002997002997,520208,1964393
0,ref_04_01.mp4,27.7277,1920x1080,29.97002997002997,628003,2187486
0,ref_08_02.mp4,28.962267,1920x1080,29.97002997002997,384559,1403479
0,ref_04_04.mp4,27.6276,1920x1080,29.97002997002997,661210,2294271
0,ref_08_01.mp4,28.962267,1920x1080,29.97002997002997,389117,1420000
0,ref_08_04.mp4,28.8288,1920x1080,29.97002997002997,388227,1410246
0,ref_07_03.mp4,32.7327,1920x1080,29.97002997002997,370202,1527341
0,ref_05_03.mp4,30.1301,1920x1080,29.97002997002997,363936,1382369
0,ref_06_01.mp4,30.797433,1920x1080,29.97002997002997,485735,1881863
